,Nsec,Sgcc,chiDelta,f,meanS,varSgcc
361,0.86,0.81905,-1.27,0.1805,1.5822140000000002,0.002925000000046566
362,1.03,0.818415,-1.0,0.181,1.719171,0.005370550000108778
363,1.03,0.817915,-1.0,0.1815,1.719171,0.005370550000108778
364,1.03,0.817415,-1.0,0.182,1.719171,0.005370550000108778
365,1.03,0.816915,-1.06,0.1825,1.719171,0.005370550000108778
366,1.09,0.816385,-1.01,0.183,1.759171,0.005428550000069663
367,1.1,0.81588,-1.0,0.1835,1.759171,0.005421199999982491
368,1.1,0.81538,-1.0,0.184,1.759171,0.005421199999982491
369,1.1,0.81488,-1.0,0.1845,1.759171,0.005421199999982491
370,1.1,0.81438,-1.0,0.185,1.759171,0.005421199999982491
371,1.1,0.81388,-1.06,0.1855,1.759171,0.005421199999982491
372,1.16,0.81335,-1.0,0.186,1.759171,0.005524999999906867
373,1.16,0.8128500000000001,-1.02,0.1865,1.759171,0.005524999999906867
374,1.18,0.8123400000000001,-1.0,0.187,1.759171,0.00551879999996163
375,1.18,0.81184,-1.0,0.1875,1.759171,0.0055187999997287985
376,1.18,0.8113400000000001,-1.0,0.188,1.759171,0.00551879999996163
377,1.18,0.81084,-1.06,0.1885,1.759171,0.00551879999996163
378,1.24,0.81031,-1.06,0.189,1.809171,0.00561780000012368
379,1.24,0.8097799999999999,-1.16,0.1895,1.8591710000000001,0.006073200000217185
380,1.4,0.8092,-1.24,0.19,1.929171,0.0064699999997392295
381,1.6,0.8085800000000001,-1.08,0.1905,2.1171710000000004,0.008237199999857694
382,1.68,0.80804,-1.0,0.191,2.1171710000000004,0.00840679999999702
383,1.68,0.8075399999999999,-1.0,0.1915,2.1171710000000004,0.00840680000022985
384,1.68,0.80704,-1.0,0.192,2.1171710000000004,0.00840680000022985
385,1.68,0.8065399999999999,-1.0,0.1925,2.1171710000000004,0.00840679999999702
386,1.68,0.80604,-1.0,0.193,2.1171710000000004,0.00840680000022985
