,Nsec,Sgcc,chiDelta,f,meanS,varSgcc
207,0.0,0.9870625,-1.0,0.0129375,1.0,0.0
208,0.0,0.987,-1.0,0.013,1.0,0.0
209,0.0,0.9869375,-1.0,0.0130625,1.0,0.0
210,0.0,0.986875,-1.0,0.013125,1.0,0.0
211,0.0,0.9868125,-1.0,0.0131875,1.0,0.0
212,0.0,0.98675,-1.0,0.01325,1.0,0.0
213,0.0,0.9866875,-1.0,0.0133125,1.0,0.0
214,0.0,0.986625,-1.0,0.013375,1.0,0.0
215,0.0,0.9865625,-1.0,0.0134375,1.0,0.0
216,0.0,0.9865,-1.0,0.0135,1.0,0.0
217,0.0,0.9864375,-1.0,0.0135625,1.0,0.0
218,0.0,0.986375,-1.0,0.013625,1.0,0.0
219,0.0,0.9863125,-1.0,0.0136875,1.0,0.0
220,0.0,0.98625,-1.0,0.01375,1.0,0.0
221,0.0,0.9861875,-1.0,0.0138125,1.0,0.0
222,0.0,0.986125,-1.0,0.013875,1.0,0.0
223,0.0,0.9860625,-1.0,0.0139375,1.0,0.0
224,0.0,0.986,-1.0,0.014,1.0,0.0
225,0.0,0.9859375,-1.0,0.0140625,1.0,0.0
226,0.0,0.985875,-1.0,0.014125,1.0,0.0
227,0.0,0.9858125,-1.0,0.0141875,1.0,0.0
228,0.0,0.98575,-1.0,0.01425,1.0,0.0
229,0.0,0.9856875,-1.0,0.0143125,1.0,0.0
230,0.0,0.985625,-1.0,0.014375,1.0,0.0
231,0.0,0.9855625,-1.0,0.0144375,1.0,0.0
232,0.0,0.9855,-1.0,0.0145,1.0,0.0
233,0.0,0.9854375,-1.0,0.0145625,1.0,0.0
234,0.0,0.985375,-1.0,0.014625,1.0,0.0
235,0.0,0.9853125,-1.0,0.0146875,1.0,0.0
236,0.0,0.98525,-1.0,0.01475,1.0,0.0
237,0.0,0.9851875,-1.0,0.0148125,1.0,0.0
238,0.0,0.985125,-1.0,0.014875,1.0,0.0
239,0.0,0.9850625,-1.0,0.0149375,1.0,0.0
240,0.0,0.985,-1.0,0.015,1.0,0.0
241,0.0,0.9849375,-1.0,0.0150625,1.0,0.0
242,0.0,0.984875,-1.0,0.015125,1.0,0.0
243,0.0,0.9848125,-1.0,0.0151875,1.0,0.0
244,0.0,0.98475,-1.0,0.01525,1.0,0.0
245,0.0,0.9846875,-1.0,0.0153125,1.0,0.0
246,0.0,0.984625,-1.0,0.015375,1.0,0.0
247,0.0,0.9845625,-1.0,0.0154375,1.0,0.0
248,0.0,0.9845,-1.0,0.0155,1.0,0.0
249,0.0,0.9844375,-1.0,0.0155625,1.0,0.0
250,0.0,0.984375,-1.0,0.015625,1.0,0.0
251,0.0,0.9843125,-1.0,0.0156875,1.0,0.0
252,0.0,0.98425,-1.0,0.01575,1.0,0.0
253,0.0,0.9841875,-1.0,0.0158125,1.0,0.0
254,0.0,0.984125,-1.0,0.015875,1.0,0.0
255,0.0,0.9840625,-1.0,0.0159375,1.0,0.0
256,0.0,0.984,-1.0,0.016,1.0,0.0
257,0.0,0.9839375,-1.0,0.0160625,1.0,0.0
258,0.0,0.983875,-1.0,0.016125,1.0,0.0
259,0.0,0.9838125,-1.0,0.0161875,1.0,0.0
260,0.0,0.98375,-1.0,0.01625,1.0,0.0
261,0.0,0.9836875,-1.0,0.0163125,1.0,0.0
262,0.0,0.983625,-1.0,0.016375,1.0,0.0
263,0.0,0.9835625,-1.0,0.0164375,1.0,0.0
264,0.0,0.9835,-1.0,0.0165,1.0,0.0
265,0.0,0.9834375,-1.0,0.0165625,1.0,0.0
266,0.0,0.983375,-1.0,0.016625,1.0,0.0
267,0.0,0.9833125,-1.0,0.0166875,1.0,0.0
268,0.0,0.98325,-1.0,0.01675,1.0,0.0
269,0.0,0.9831875,-1.0,0.0168125,1.0,0.0
270,0.0,0.983125,-1.0,0.016875,1.0,0.0
271,0.0,0.9830625,-1.0,0.0169375,1.0,0.0
272,0.0,0.983,-1.0,0.017,1.0,0.0
273,0.0,0.9829375,-1.0,0.0170625,1.0,0.0
274,0.0,0.982875,-1.0,0.017125,1.0,0.0
275,0.0,0.9828125,-1.0,0.0171875,1.0,0.0
276,0.0,0.98275,-1.0,0.01725,1.0,0.0
277,0.0,0.9826875,-1.0,0.0173125,1.0,0.0
278,0.0,0.982625,-1.0,0.017375,1.0,0.0
279,0.0,0.9825625,-1.0,0.0174375,1.0,0.0
280,0.0,0.9825,-1.0,0.0175,1.0,0.0
281,0.0,0.9824375,-1.0,0.0175625,1.0,0.0
282,0.0,0.982375,-1.0,0.017625,1.0,0.0
283,0.0,0.9823125,-1.0,0.0176875,1.0,0.0
284,0.0,0.98225,-1.0,0.01775,1.0,0.0
285,0.0,0.9821875,-1.0,0.0178125,1.0,0.0
286,0.0,0.982125,-1.0,0.017875,1.0,0.0
287,0.0,0.9820625,-1.0,0.0179375,1.0,0.0
288,0.0,0.982,-1.0,0.018,1.0,0.0
289,0.0,0.9819375,-1.0,0.0180625,1.0,0.0
290,0.0,0.981875,-1.0,0.018125,1.0,0.0
291,0.0,0.9818125,-1.0,0.0181875,1.0,0.0
292,0.0,0.98175,-1.0,0.01825,1.0,0.0
293,0.0,0.9816875,-1.0,0.0183125,1.0,0.0
294,0.0,0.981625,-1.0,0.018375,1.0,0.0
295,0.0,0.9815625,-1.0,0.0184375,1.0,0.0
296,0.0,0.9815,-1.0,0.0185,1.0,0.0
297,0.0,0.9814375,-1.0,0.0185625,1.0,0.0
298,0.0,0.981375,-1.0,0.018625,1.0,0.0
299,0.0,0.9813125,-1.0,0.0186875,1.0,0.0
300,0.0,0.98125,-1.0,0.01875,1.0,0.0
301,0.0,0.9811875,-1.0,0.0188125,1.0,0.0
302,0.0,0.981125,-1.0,0.018875,1.0,0.0
303,0.0,0.9810625,-1.0,0.0189375,1.0,0.0
304,0.0,0.981,-1.0,0.019,1.0,0.0
305,0.0,0.9809375,-1.0,0.0190625,1.0,0.0
306,0.0,0.980875,-1.0,0.019125,1.0,0.0
307,0.0,0.9808125,-1.0,0.0191875,1.0,0.0
308,0.0,0.98075,-1.0,0.01925,1.0,0.0
309,0.0,0.9806875,-1.0,0.0193125,1.0,0.0
310,0.0,0.980625,-1.0,0.019375,1.0,0.0
311,0.0,0.9805625,-1.0,0.0194375,1.0,0.0
312,0.0,0.9805,-1.0,0.0195,1.0,0.0
313,0.0,0.9804375,-1.0,0.0195625,1.0,0.0
314,0.0,0.980375,-1.0,0.019625,1.0,0.0
315,0.0,0.9803125,-1.0,0.0196875,1.0,0.0
316,0.0,0.98025,-1.0,0.01975,1.0,0.0
317,0.0,0.9801875,-1.0,0.0198125,1.0,0.0
318,0.0,0.980125,-1.0,0.019875,1.0,0.0
319,0.0,0.9800625,-1.0,0.0199375,1.0,0.0
320,0.0,0.98,-1.0,0.02,1.0,0.0
321,0.0,0.9799375,-1.0,0.0200625,1.0,0.0
322,0.0,0.979875,-1.0,0.020125,1.0,0.0
323,0.0,0.9798125,-1.0,0.0201875,1.0,0.0
324,0.0,0.97975,-1.0,0.02025,1.0,0.0
325,0.0,0.9796875,-1.0,0.0203125,1.0,0.0
326,0.0,0.979625,-1.0,0.020375,1.0,0.0
327,0.0,0.9795625,-1.0,0.0204375,1.0,0.0
328,0.0,0.9795,-1.0,0.0205,1.0,0.0
329,0.0,0.9794375,-1.0,0.0205625,1.0,0.0
330,0.0,0.979375,-1.0,0.020625,1.0,0.0
331,0.0,0.9793125,-1.0,0.0206875,1.0,0.0
332,0.0,0.97925,-1.0,0.02075,1.0,0.0
333,0.0,0.9791875,-1.0,0.0208125,1.0,0.0
334,0.0,0.979125,-1.0,0.020875,1.0,0.0
335,0.0,0.9790625,-1.0,0.0209375,1.0,0.0
336,0.0,0.979,-1.0,0.021,1.0,0.0
337,0.0,0.9789375,-1.0,0.0210625,1.0,0.0
338,0.0,0.978875,-1.0,0.021125,1.0,0.0
339,0.0,0.9788125,-1.0,0.0211875,1.0,0.0
340,0.0,0.97875,-1.0,0.02125,1.0,0.0
341,0.0,0.9786875,-1.0,0.0213125,1.0,0.0
342,0.0,0.978625,-1.0,0.021375,1.0,0.0
343,0.0,0.9785625,-1.0,0.0214375,1.0,0.0
344,0.0,0.9785,-1.0,0.0215,1.0,0.0
345,0.0,0.9784375,-1.0,0.0215625,1.0,0.0
346,0.0,0.978375,-1.0,0.021625,1.0,0.0
347,0.0,0.9783125,-1.0,0.0216875,1.0,0.0
348,0.0,0.97825,-1.0,0.02175,1.0,0.0
349,0.0,0.9781875,-1.0,0.0218125,1.0,0.0
350,0.0,0.978125,-1.0,0.021875,1.0,0.0
351,0.0,0.9780625,-1.0,0.0219375,1.0,0.0
352,0.0,0.978,-1.0,0.022,1.0,0.0
353,0.0,0.9779375,-1.0,0.0220625,1.0,0.0
354,0.0,0.977875,-1.0,0.022125,1.0,0.0
355,0.0,0.9778125,-1.0,0.0221875,1.0,0.0
356,0.0,0.97775,-1.0,0.02225,1.0,0.0
357,0.0,0.9776875,-1.0,0.0223125,1.0,0.0
358,0.0,0.977625,-1.0,0.022375,1.0,0.0
359,0.0,0.9775625,-1.0,0.0224375,1.0,0.0
360,0.0,0.9775,-1.0,0.0225,1.0,0.0
361,0.0,0.9774375,-1.0,0.0225625,1.0,0.0
362,0.0,0.977375,-1.0,0.022625,1.0,0.0
363,0.0,0.9773125,-1.0,0.0226875,1.0,0.0
364,0.0,0.97725,-1.0,0.02275,1.0,0.0
365,0.0,0.9771875,-1.0,0.0228125,1.0,0.0
366,0.0,0.977125,-1.0,0.022875,1.0,0.0
367,0.0,0.9770625,-1.0,0.0229375,1.0,0.0
368,0.0,0.977,-1.0,0.023,1.0,0.0
369,0.0,0.9769375,-1.0,0.0230625,1.0,0.0
370,0.0,0.976875,-1.0,0.023125,1.0,0.0
