,Nsec,Sgcc,chiDelta,f,meanS,varSgcc
228,1.27,0.0071200000000000005,-0.05,0.912,1.0414326999999997,0.0014863999999999997
229,1.22,0.00692,-0.09,0.916,1.0362708000000003,0.0015084
230,1.17,0.00656,-0.03,0.92,1.0315846999999996,0.001481600000000002
231,1.15,0.00644,-0.07,0.924,1.0299461000000003,0.0015115999999999997
232,1.13,0.0061600000000000005,-0.08,0.928,1.0277500000000002,0.001313600000000001
233,1.13,0.00584,-0.03,0.932,1.0254286000000001,0.001153600000000001
234,1.1,0.005719999999999999,-0.06,0.936,1.0186813999999997,0.0011404000000000015
235,1.07,0.0054800000000000005,-0.08,0.94,1.0153847,0.0010123999999999986
236,1.06,0.0051600000000000005,0.0,0.944,1.0133333999999998,0.0009035999999999991
237,1.04,0.0051600000000000005,-0.02,0.948,1.0090910000000002,0.0009035999999999991
238,1.02,0.00508,-0.02,0.952,1.004,0.0008684000000000003
239,1.02,0.005,-0.06,0.956,1.0044444,0.0008300000000000001
240,1.02,0.0047599999999999995,-0.03,0.96,1.005,0.0006956000000000006
241,1.01,0.00464,-0.03,0.964,1.0028571,0.0006176000000000004
242,1.01,0.00452,-0.05,0.968,1.0033333,0.0005324000000000009
243,1.01,0.00432,-0.03,0.972,1.004,0.0003743999999999996
244,1.0,0.004200000000000001,-0.02,0.976,1.0,0.0001899999999999995
245,1.0,0.00412,-0.01,0.98,1.0,0.0001164000000000005
246,1.0,0.00408,-0.01,0.984,1.0,7.840000000000025e-05
247,1.0,0.00404,0.0,0.988,1.0,3.960000000000008e-05
248,0.99,0.00404,-0.01,0.992,1.0,3.960000000000008e-05
249,0.0,0.004,0.0,0.996,1.0,0.0
